time,volume_m3,inflow_m3_per_day,outflow_m3_per_day
1992-04-03T00:00:00,895762195.2,532111.68,0.0
1992-04-04T00:00:00,897448118.4000001,1685923.2,0.0
1992-04-05T00:00:00,898977519.3600001,1529400.96,0.0
1992-04-06T00:00:00,900340410.2400001,1362890.88,0.0
1992-04-07T00:00:00,901576949.7600001,1236539.52,0.0
1992-04-08T00:00:00,902628938.8800001,1051989.12,0.0
1992-04-09T00:00:00,903485767.6800001,856828.8,0.0
1992-04-10T00:00:00,904347970.5600001,862202.88,0.0
1992-04-11T00:00:00,905149857.6,801887.04,0.0
1992-04-12T00:00:00,906108707.52,958849.92,0.0
1992-04-13T00:00:00,907607730.24,1499022.72,0.0
1992-04-14T00:00:00,909464889.6,1857159.36,0.0
1992-04-15T00:00:00,910747203.84,1282314.24,0.0
1992-04-16T00:00:00,912310680.96,1563477.12,0.0
1992-04-17T00:00:00,913204575.36,893894.4,0.0
1992-04-18T00:00:00,914907113.28,1702537.92,0.0
1992-04-19T00:00:00,916404477.12,1497363.84,0.0
1992-04-20T00:00:00,917492106.24,1087629.12,0.0
1992-04-21T00:00:00,918357220.8,865114.56,0.0
1992-04-22T00:00:00,919094135.04,736914.24,0.0
1992-04-23T00:00:00,919700352.0,606216.96,0.0
1992-04-24T00:00:00,920126537.28,426185.28,0.0
1992-04-25T00:00:00,920867261.76,740724.48,0.0
1992-04-26T00:00:00,921535272.0,668010.24,0.0
1992-04-27T00:00:00,922227016.32,691744.32,0.0
1992-04-28T00:00:00,922849770.24,622753.92,0.0
1992-04-29T00:00:00,923708897.28,859127.04,0.0
1992-04-30T00:00:00,924377944.3199999,669047.04,0.0
1992-05-01T00:00:00,923937736.3199999,570672.0,1010880.0
1992-05-02T00:00:00,923876072.64,931936.32,993600.0
1992-05-03T00:00:00,923432425.92,549953.28,993600.0
1992-05-04T00:00:00,922926864.9599999,488039.04,993600.0
1992-05-05T00:00:00,922412111.04,478846.08,993600.0
1992-05-06T00:00:00,922031847.36,613336.32,993600.0
1992-05-07T00:00:00,921507848.64,443681.28,967680.0
1992-05-08T00:00:00,920838240.0,220311.36,889920.0
1992-05-09T00:00:00,920408356.8,347716.8,777600.0
1992-05-10T00:00:00,919759017.5999999,110980.8,760320.0
1992-05-11T00:00:00,919248350.3999999,76852.8,587520.0
1992-05-12T00:00:00,918894810.2399999,95739.84,449280.0
1992-05-13T00:00:00,918502502.3999999,74252.16,466560.0
1992-05-14T00:00:00,917846657.2799999,-154725.12,501120.0
1992-05-15T00:00:00,917158394.8799999,-178502.4,509760.0
1992-05-16T00:00:00,916622179.1999999,-26455.68,509760.0
1992-05-17T00:00:00,915879752.64,-241306.56,501120.0
1992-05-18T00:00:00,915079014.72,-299617.92,501120.0
1992-05-19T00:00:00,914257739.52,-320155.2,501120.0
1992-05-20T00:00:00,913377375.36,-379244.16,501120.0
1992-05-21T00:00:00,912683548.8000001,-192706.56,501120.0
1992-05-22T00:00:00,911807971.2,-365817.6,509760.0
1992-05-23T00:00:00,910857683.5200001,-440527.68,509760.0
1992-05-24T00:00:00,909841913.2800001,-506010.24,509760.0
1992-05-25T00:00:00,908804681.2800001,-527472.0,509760.0
1992-05-26T00:00:00,907682915.5200001,-612005.76,509760.0
1992-05-27T00:00:00,906548457.6000001,-624697.92,509760.0
1992-05-28T00:00:00,905434580.1600001,-604117.44,509760.0
1992-05-29T00:00:00,904283066.8800001,-641753.28,509760.0
1992-05-30T00:00:00,903053992.3200002,-702034.56,527040.0
1992-05-31T00:00:00,901741533.1200001,-785419.2,527040.0
1992-06-01T00:00:00,900805924.8000001,-633208.32,302400.0
1992-06-02T00:00:00,900054754.5600001,-578370.24,172800.0
1992-06-03T00:00:00,899300724.48,-581230.08,172800.0
1992-06-04T00:00:00,898450297.9200001,-677626.56,172800.0
1992-06-05T00:00:00,897543676.8000001,-725181.12,181440.0
1992-06-06T00:00:00,896598279.36,-763957.44,181440.0
1992-06-07T00:00:00,895631973.12,-784866.24,181440.0
1992-06-08T00:00:00,894766806.72,-683726.4,181440.0
1992-06-09T00:00:00,893908180.8000001,-668545.92,190080.0
1992-06-10T00:00:00,893033786.8800001,-675673.92,198720.0
1992-06-11T00:00:00,892591462.0800002,-243604.8,198720.0
1992-06-12T00:00:00,891629648.6400001,-763093.44,198720.0
1992-06-13T00:00:00,890619831.3600001,-819737.28,190080.0
1992-06-14T00:00:00,890337916.8000002,-91834.56,190080.0
1992-06-15T00:00:00,889630542.7200001,-517294.08,190080.0
1992-06-16T00:00:00,888616103.0400002,-815719.68,198720.0
1992-06-17T00:00:00,887870160.0000002,-547223.04,198720.0
1992-06-18T00:00:00,888024841.9200002,353401.92,198720.0
1992-06-19T00:00:00,887179858.5600002,-646263.36,198720.0
1992-06-20T00:00:00,887057179.2000002,76040.64,198720.0
1992-06-21T00:00:00,886557683.5200002,-300775.68,198720.0
1992-06-22T00:00:00,886013078.4000002,-337245.12,207360.0
1992-06-23T00:00:00,885188701.4400002,-617016.96,207360.0
1992-06-24T00:00:00,884407887.3600001,-573454.08,207360.0
1992-06-25T00:00:00,883558497.6000001,-642029.76,207360.0
1992-06-26T00:00:00,882660335.0400002,-690802.56,207360.0
1992-06-27T00:00:00,881805761.2800002,-647213.76,207360.0
1992-06-28T00:00:00,880902250.5600002,-696150.72,207360.0
1992-06-29T00:00:00,879968318.4000002,-717932.16,216000.0
1992-06-30T00:00:00,880242534.7200003,490216.32,216000.0
1992-07-01T00:00:00,882015462.7200003,1988928.0,216000.0
1992-07-02T00:00:00,881525790.7200003,-273672.0,216000.0
1992-07-03T00:00:00,881133310.0800003,-185120.64,207360.0
1992-07-04T00:00:00,880633753.9200003,-292196.16,207360.0
1992-07-05T00:00:00,879939037.4400003,-495996.48,198720.0
1992-07-06T00:00:00,879411807.3600003,-337150.08,190080.0
1992-07-07T00:00:00,878883203.5200002,-347163.84,181440.0
1992-07-08T00:00:00,878152734.7200003,-557668.8,172800.0
1992-07-09T00:00:00,877413418.5600003,-566516.16,172800.0
1992-07-10T00:00:00,876666257.2800003,-574361.28,172800.0
1992-07-11T00:00:00,875967566.4000003,-525890.88,172800.0
1992-07-12T00:00:00,875173472.6400003,-621293.76,172800.0
1992-07-13T00:00:00,874736539.2000003,-264133.44,172800.0
1992-07-14T00:00:00,875389152.9600003,825413.76,172800.0
1992-07-15T00:00:00,875212853.7600002,-3499.2,172800.0
1992-07-16T00:00:00,874498489.9200002,-541563.84,172800.0
1992-07-17T00:00:00,873726782.4000002,-590267.52,181440.0
1992-07-18T00:00:00,874075950.7200003,530608.32,181440.0
1992-07-19T00:00:00,873578433.6000003,-316077.12,181440.0
1992-07-20T00:00:00,872825198.4000002,-571795.2,181440.0
1992-07-21T00:00:00,872086988.1600002,-556770.24,181440.0
1992-07-22T00:00:00,871299002.8800002,-606545.28,181440.0
1992-07-23T00:00:00,870501297.6000003,-624905.28,172800.0
1992-07-24T00:00:00,869738031.3600003,-581826.24,181440.0
1992-07-25T00:00:00,868984243.2000003,-572348.16,181440.0
1992-07-26T00:00:00,868398295.6800003,-404507.52,181440.0
1992-07-27T00:00:00,868305424.3200003,79928.64,172800.0
1992-07-28T00:00:00,870354374.4000003,2221750.08,172800.0
1992-07-29T00:00:00,869848130.8800004,-324803.52,181440.0
1992-07-30T00:00:00,869108054.4000003,-524076.48,216000.0
1992-07-31T00:00:00,868368625.9200003,-532068.48,207360.0
1992-08-01T00:00:00,867736290.2400004,-450895.68,181440.0
1992-08-02T00:00:00,868345410.2400004,790560.0,181440.0
1992-08-03T00:00:00,867870512.6400003,-293457.6,181440.0
1992-08-04T00:00:00,867452803.2000003,-227629.44,190080.0
1992-08-05T00:00:00,866938317.1200002,-315766.08,198720.0
1992-08-06T00:00:00,868553962.5600003,1814365.44,198720.0
1992-08-07T00:00:00,867853465.9200003,-501776.64,198720.0
1992-08-08T00:00:00,867281351.0400003,-373394.88,198720.0
1992-08-09T00:00:00,866789544.9600003,-293086.08,198720.0
1992-08-10T00:00:00,866267948.1600003,-314236.8,207360.0
1992-08-11T00:00:00,865756969.9200003,-303618.24,207360.0
1992-08-12T00:00:00,865367953.9200003,-173016.0,216000.0
1992-08-13T00:00:00,865897629.1200004,737035.2,207360.0
1992-08-14T00:00:00,865887027.8400004,153558.72,164160.0
1992-08-15T00:00:00,865644131.5200003,-87376.32,155520.0
1992-08-16T00:00:00,865179982.0800003,-308629.44,155520.0
1992-08-17T00:00:00,865363530.2400002,339068.16,155520.0
1992-08-18T00:00:00,865084397.7600002,-123612.48,155520.0
1992-08-19T00:00:00,864683467.2000003,-245410.56,155520.0
1992-08-20T00:00:00,864401345.2800003,-126601.92,155520.0
1992-08-21T00:00:00,864025755.8400003,-220069.44,155520.0
1992-08-22T00:00:00,863771860.8000003,-98375.04,155520.0
1992-08-23T00:00:00,863297352.0000004,-318988.8,155520.0
1992-08-24T00:00:00,863848013.7600003,706181.76,155520.0
1992-08-25T00:00:00,863811587.5200003,119093.76,155520.0
1992-08-26T00:00:00,863664664.3200003,25876.8,172800.0
1992-08-27T00:00:00,864124200.0000002,649615.68,190080.0
1992-08-28T00:00:00,864259675.2000003,325555.2,190080.0
1992-08-29T00:00:00,864144210.2400002,74615.04,190080.0
1992-08-30T00:00:00,863735244.4800003,-218885.76,190080.0
1992-08-31T00:00:00,863767895.0400002,222730.56,190080.0
1992-09-01T00:00:00,865890172.8000002,2312357.76,190080.0
1992-09-02T00:00:00,865658232.0000002,-41860.8,190080.0
1992-09-03T00:00:00,866023565.7600002,564053.76,198720.0
1992-09-04T00:00:00,865711817.2800002,-113028.48,198720.0
1992-09-05T00:00:00,865595540.1600002,82442.88,198720.0
1992-09-06T00:00:00,865271376.0000002,-134084.16,190080.0
