time,volume_m3,inflow_m3_per_day,outflow_m3_per_day
1992-02-25T00:00:00,819999345.3566204,92793.6,760401.1267605635
1992-02-26T00:00:00,819366522.3887331,131431.68,764254.647887324
1992-02-27T00:00:00,818776458.6997191,178044.48,768108.1690140845
1992-02-28T00:00:00,818362443.5695782,357946.56,771961.6901408451
1992-02-29T00:00:00,817761467.4794374,170985.6,771961.6901408451
1992-03-01T00:00:00,817236410.9881698,250758.72,775815.2112676057
1992-03-02T00:00:00,816878633.4557754,421891.2,779668.7323943662
1992-03-03T00:00:00,816598036.9622543,502925.76,783522.2535211268
1992-03-04T00:00:00,816288271.7476064,477610.56,787375.7746478873
1992-03-05T00:00:00,815956707.7318318,459665.28,791229.2957746478
1992-03-06T00:00:00,815580448.9149303,418824.0,795082.8169014085
1992-03-07T00:00:00,815215957.6969022,434445.12,798936.338028169
1992-03-08T00:00:00,814873005.9177473,459838.08,802789.8591549295
1992-03-09T00:00:00,814501161.8974656,434799.36,806643.3802816902
1992-03-10T00:00:00,814137638.1160572,446973.12,810496.9014084507
1992-03-11T00:00:00,815830278.7335219,2506991.04,814350.4225352113
1992-03-12T00:00:00,817631541.34986,2619466.56,818203.9436619718
1992-03-13T00:00:00,819739722.6050712,2930238.72,822057.4647887324
1992-03-14T00:00:00,821284135.1391557,2370323.52,825910.985915493
1992-03-15T00:00:00,822313569.0321134,1859198.4,829764.5070422535
1992-03-16T00:00:00,822882585.8839444,1402634.88,833618.028169014
1992-03-17T00:00:00,823477254.8146486,1432140.48,837471.5492957747
1992-03-18T00:00:00,823684722.0642262,1048792.32,841325.0704225352
1992-03-19T00:00:00,824421397.8726768,1581854.4,845178.5915492957
1992-03-20T00:00:00,824963768.6400008,1391402.88,849032.1126760563
1992-03-21T00:00:00,825567828.926198,1456945.92,852885.6338028169
1992-03-22T00:00:00,826443910.8912684,1732821.12,856739.1549295774
1992-03-23T00:00:00,827405105.415212,1821787.2,860592.676056338
1992-03-24T00:00:00,828176841.9380289,1636182.72,864446.1971830985
1992-03-25T00:00:00,828694735.1797191,1386192.96,868299.7183098592
1992-03-26T00:00:00,828951112.8202825,1128530.88,872153.2394366197
1992-03-27T00:00:00,829168031.499719,1092925.44,876006.7605633802
1992-03-28T00:00:00,829307777.6180289,1019606.4,879860.2816901408
1992-03-29T00:00:00,829072521.735212,648457.92,883713.8028169014
1992-03-30T00:00:00,828741188.9712683,556234.56,887567.323943662
1992-03-31T00:00:00,828427645.8861979,577877.76,891420.8450704225
1992-04-01T00:00:00,827976156.4800007,443784.96,895274.366197183
1992-04-02T00:00:00,827869195.6326768,792167.04,899127.8873239437
1992-04-03T00:00:00,827498325.9042262,532111.68,902981.4084507042
1992-04-04T00:00:00,828277414.1746488,1685923.2,906834.9295774647
1992-04-05T00:00:00,828896126.6839446,1529400.96,910688.4507042253
1992-04-06T00:00:00,829344475.5921136,1362890.88,914541.9718309859
1992-04-07T00:00:00,829662619.6191559,1236539.52,918395.4929577465
1992-04-08T00:00:00,829792359.7250714,1051989.12,922249.014084507
1992-04-09T00:00:00,829723085.9898602,856828.8,926102.5352112675
1992-04-10T00:00:00,829655332.8135221,862202.88,929956.0563380282
1992-04-11T00:00:00,829523410.2760574,801887.04,933809.5774647887
1992-04-12T00:00:00,829544597.0974659,958849.92,937663.0985915493
1992-04-13T00:00:00,830102103.1977476,1499022.72,941516.6197183098
1992-04-14T00:00:00,831013892.4169025,1857159.36,945370.1408450704
1992-04-15T00:00:00,831346982.9949307,1282314.24,949223.661971831
1992-04-16T00:00:00,831957382.9318322,1563477.12,953077.1830985915
1992-04-17T00:00:00,831894346.6276069,893894.4,956930.7042253522
1992-04-18T00:00:00,832636100.3222548,1702537.92,960784.2253521127
1992-04-19T00:00:00,833168826.4157759,1497363.84,964637.7464788732
1992-04-20T00:00:00,833287964.2681702,1087629.12,968491.2676056338
1992-04-21T00:00:00,833180734.0394379,865114.56,972344.7887323943
1992-04-22T00:00:00,832941449.9695787,736914.24,976198.3098591549
1992-04-23T00:00:00,832567615.0985929,606216.96,980051.8309859155
1992-04-24T00:00:00,832009895.0264802,426185.28,983905.352112676
1992-04-25T00:00:00,831762860.6332408,740724.48,987758.8732394367
1992-04-26T00:00:00,831439258.4788746,668010.24,991612.3943661972
1992-04-27T00:00:00,831135536.8833816,691744.32,995465.9154929577
1992-04-28T00:00:00,830758971.3667619,622753.92,999319.4366197183
1992-04-29T00:00:00,830614925.4490155,859127.04,1003172.9577464788
1992-04-30T00:00:00,830276946.0101422,669047.04,1007026.4788732395
1992-05-01T00:00:00,829836738.0101422,570672.0,1010880.0
1992-05-02T00:00:00,829775074.3301423,931936.32,993600.0
1992-05-03T00:00:00,829331427.6101422,549953.28,993600.0
1992-05-04T00:00:00,828825866.6501422,488039.04,993600.0
1992-05-05T00:00:00,828311112.7301422,478846.08,993600.0
1992-05-06T00:00:00,827930849.0501423,613336.32,993600.0
1992-05-07T00:00:00,827406850.3301423,443681.28,967680.0
1992-05-08T00:00:00,826737241.6901423,220311.36,889920.0
1992-05-09T00:00:00,826307358.4901422,347716.8,777600.0
1992-05-10T00:00:00,825658019.2901422,110980.8,760320.0
1992-05-11T00:00:00,825147352.0901421,76852.8,587520.0
1992-05-12T00:00:00,824793811.9301422,95739.84,449280.0
1992-05-13T00:00:00,824401504.0901421,74252.16,466560.0
1992-05-14T00:00:00,823745658.9701421,-154725.12,501120.0
1992-05-15T00:00:00,823057396.5701421,-178502.4,509760.0
1992-05-16T00:00:00,822521180.8901422,-26455.68,509760.0
1992-05-17T00:00:00,821778754.3301423,-241306.56,501120.0
1992-05-18T00:00:00,820978016.4101423,-299617.92,501120.0
1992-05-19T00:00:00,820156741.2101423,-320155.2,501120.0
1992-05-20T00:00:00,819276377.0501423,-379244.16,501120.0
1992-05-21T00:00:00,818582550.4901423,-192706.56,501120.0
1992-05-22T00:00:00,817706972.8901423,-365817.6,509760.0
1992-05-23T00:00:00,816756685.2101424,-440527.68,509760.0
1992-05-24T00:00:00,815740914.9701424,-506010.24,509760.0
1992-05-25T00:00:00,814703682.9701424,-527472.0,509760.0
1992-05-26T00:00:00,813581917.2101424,-612005.76,509760.0
1992-05-27T00:00:00,812447459.2901424,-624697.92,509760.0
1992-05-28T00:00:00,811333581.8501424,-604117.44,509760.0
1992-05-29T00:00:00,810182068.5701424,-641753.28,509760.0
1992-05-30T00:00:00,808952994.0101424,-702034.56,527040.0
1992-05-31T00:00:00,807640534.8101424,-785419.2,527040.0
1992-06-01T00:00:00,806704926.4901423,-633208.32,302400.0
1992-06-02T00:00:00,805953756.2501423,-578370.24,172800.0
1992-06-03T00:00:00,805199726.1701423,-581230.08,172800.0
1992-06-04T00:00:00,804349299.6101424,-677626.56,172800.0
1992-06-05T00:00:00,803442678.4901423,-725181.12,181440.0
1992-06-06T00:00:00,802497281.0501423,-763957.44,181440.0
1992-06-07T00:00:00,801530974.8101423,-784866.24,181440.0
1992-06-08T00:00:00,800665808.4101423,-683726.4,181440.0
1992-06-09T00:00:00,799807182.4901423,-668545.92,190080.0
1992-06-10T00:00:00,798932788.5701424,-675673.92,198720.0
1992-06-11T00:00:00,798490463.7701424,-243604.8,198720.0
1992-06-12T00:00:00,797528650.3301424,-763093.44,198720.0
1992-06-13T00:00:00,796518833.0501424,-819737.28,190080.0
1992-06-14T00:00:00,796236918.4901425,-91834.56,190080.0
1992-06-15T00:00:00,795529544.4101424,-517294.08,190080.0
1992-06-16T00:00:00,794515104.7301425,-815719.68,198720.0
1992-06-17T00:00:00,793769161.6901425,-547223.04,198720.0
1992-06-18T00:00:00,793923843.6101425,353401.92,198720.0
1992-06-19T00:00:00,793078860.2501425,-646263.36,198720.0
1992-06-20T00:00:00,792956180.8901424,76040.64,198720.0
1992-06-21T00:00:00,792456685.2101425,-300775.68,198720.0
1992-06-22T00:00:00,791912080.0901425,-337245.12,207360.0
1992-06-23T00:00:00,791087703.1301425,-617016.96,207360.0
1992-06-24T00:00:00,790306889.0501424,-573454.08,207360.0
1992-06-25T00:00:00,789457499.2901424,-642029.76,207360.0
1992-06-26T00:00:00,788559336.7301425,-690802.56,207360.0
1992-06-27T00:00:00,787704762.9701425,-647213.76,207360.0
1992-06-28T00:00:00,786801252.2501425,-696150.72,207360.0
1992-06-29T00:00:00,785867320.0901425,-717932.16,216000.0
1992-06-30T00:00:00,786141536.4101425,490216.32,216000.0
1992-07-01T00:00:00,787914464.4101425,1988928.0,216000.0
1992-07-02T00:00:00,787424792.4101425,-273672.0,216000.0
1992-07-03T00:00:00,787032311.7701426,-185120.64,207360.0
1992-07-04T00:00:00,786532755.6101426,-292196.16,207360.0
1992-07-05T00:00:00,785838039.1301426,-495996.48,198720.0
1992-07-06T00:00:00,785310809.0501425,-337150.08,190080.0
1992-07-07T00:00:00,784782205.2101425,-347163.84,181440.0
1992-07-08T00:00:00,784051736.4101425,-557668.8,172800.0
1992-07-09T00:00:00,783312420.2501426,-566516.16,172800.0
1992-07-10T00:00:00,782565258.9701426,-574361.28,172800.0
1992-07-11T00:00:00,781866568.0901426,-525890.88,172800.0
1992-07-12T00:00:00,781072474.3301426,-621293.76,172800.0
1992-07-13T00:00:00,780635540.8901426,-264133.44,172800.0
1992-07-14T00:00:00,781288154.6501426,825413.76,172800.0
1992-07-15T00:00:00,781111855.4501425,-3499.2,172800.0
