time,inflow_m3_per_day,outflow_m3_per_day
1992-05-19T00:00:00,-320155.2,501120.0
1992-05-20T00:00:00,-379244.16,501120.0
1992-05-21T00:00:00,-192706.56,501120.0
1992-05-22T00:00:00,-365817.6,509760.0
1992-05-23T00:00:00,-440527.68,509760.0
1992-05-24T00:00:00,-506010.24,509760.0
1992-05-25T00:00:00,-527472.0,509760.0
1992-05-26T00:00:00,-612005.76,509760.0
1992-05-27T00:00:00,-624697.92,509760.0
1992-05-28T00:00:00,-604117.44,509760.0
1992-05-29T00:00:00,-641753.28,509760.0
1992-05-30T00:00:00,-702034.56,527040.0
1992-05-31T00:00:00,-785419.2,527040.0
1992-06-01T00:00:00,-633208.32,302400.0
1992-06-02T00:00:00,-578370.24,172800.0
1992-06-03T00:00:00,-581230.08,172800.0
1992-06-04T00:00:00,-677626.56,172800.0
1992-06-05T00:00:00,-725181.12,181440.0
1992-06-06T00:00:00,-763957.44,181440.0
1992-06-07T00:00:00,-784866.24,181440.0
1992-06-08T00:00:00,-683726.4,181440.0
1992-06-09T00:00:00,-668545.92,190080.0
1992-06-10T00:00:00,-675673.92,198720.0
1992-06-11T00:00:00,-243604.8,198720.0
1992-06-12T00:00:00,-763093.44,198720.0
1992-06-13T00:00:00,-819737.28,190080.0
1992-06-14T00:00:00,-91834.56,190080.0
1992-06-15T00:00:00,-517294.08,190080.0
1992-06-16T00:00:00,-815719.68,198720.0
1992-06-17T00:00:00,-547223.04,198720.0
1992-06-18T00:00:00,353401.92,198720.0
1992-06-19T00:00:00,-646263.36,198720.0
1992-06-20T00:00:00,76040.64,198720.0
1992-06-21T00:00:00,-300775.68,198720.0
1992-06-22T00:00:00,-337245.12,207360.0
1992-06-23T00:00:00,-617016.96,207360.0
1992-06-24T00:00:00,-573454.08,207360.0
1992-06-25T00:00:00,-642029.76,207360.0
1992-06-26T00:00:00,-690802.56,207360.0
1992-06-27T00:00:00,-647213.76,207360.0
1992-06-28T00:00:00,-696150.72,207360.0
1992-06-29T00:00:00,-717932.16,216000.0
1992-06-30T00:00:00,490216.32,216000.0
1992-07-01T00:00:00,1988928.0,216000.0
1992-07-02T00:00:00,-273672.0,216000.0
1992-07-03T00:00:00,-185120.64,207360.0
1992-07-04T00:00:00,-292196.16,207360.0
1992-07-05T00:00:00,-495996.48,198720.0
1992-07-06T00:00:00,-337150.08,190080.0
1992-07-07T00:00:00,-347163.84,181440.0
1992-07-08T00:00:00,-557668.8,172800.0
1992-07-09T00:00:00,-566516.16,172800.0
1992-07-10T00:00:00,-574361.28,172800.0
1992-07-11T00:00:00,-525890.88,172800.0
1992-07-12T00:00:00,-621293.76,172800.0
1992-07-13T00:00:00,-264133.44,172800.0
1992-07-14T00:00:00,825413.76,172800.0
1992-07-15T00:00:00,-3499.2,172800.0
